Epoch,Percentage,Loss
1,0.0,2.3003292083740234
1,2.0,2.2252097129821777
1,4.0,2.0103657245635986
1,6.0,2.172459840774536
1,8.0,2.0637619495391846
1,10.0,1.589013695716858
1,12.0,1.2006125450134277
1,14.0,0.8738324642181396
1,16.0,1.0537993907928467
1,18.0,1.2586936950683594
1,20.0,0.6469919681549072
1,22.0,0.676135778427124
1,24.0,0.5450924634933472
1,26.0,0.5762532353401184
1,28.0,0.7936002016067505
1,30.0,0.46278122067451477
1,32.0,0.4745844602584839
1,34.0,0.7561664581298828
1,36.0,0.5258654356002808
1,38.0,0.39889979362487793
1,40.0,0.33608001470565796
1,42.0,0.5830889940261841
1,44.0,0.25903594493865967
1,46.0,0.4822208285331726
1,48.0,0.5497661232948303
1,50.0,0.4052645266056061
1,52.0,0.2523927390575409
1,54.0,0.5689414143562317
1,56.0,0.5059940218925476
1,58.0,0.4161708354949951
1,60.0,0.3957049250602722
1,62.0,0.2769322395324707
1,64.0,0.3230475187301636
1,66.0,0.4121544361114502
1,68.0,0.5476070046424866
1,70.0,0.4956420660018921
1,72.0,0.17689591646194458
1,74.0,0.4250839352607727
1,76.0,0.4114300310611725
1,78.0,0.5537097454071045
1,80.0,0.4290372133255005
1,82.0,0.3194230794906616
1,84.0,0.32002270221710205
1,86.0,0.29296863079071045
1,88.0,0.6127898693084717
1,90.0,0.4328422248363495
1,92.0,0.3234650492668152
1,94.0,0.3053017258644104
1,96.0,0.45526161789894104
1,98.0,0.36504682898521423
2,0.0,0.16194143891334534
2,2.0,0.5349015593528748
2,4.0,0.41428667306900024
2,6.0,0.11737371981143951
2,8.0,0.3620558977127075
2,10.0,0.08559396117925644
2,12.0,0.3731651306152344
2,14.0,0.22514718770980835
2,16.0,0.3283618092536926
2,18.0,0.4618081748485565
2,20.0,0.34663140773773193
2,22.0,0.24829570949077606
2,24.0,0.37552693486213684
2,26.0,0.2607921361923218
2,28.0,0.24210721254348755
2,30.0,0.23461629450321198
2,32.0,0.3228382170200348
2,34.0,0.15397900342941284
2,36.0,0.06259132921695709
2,38.0,0.22927986085414886
2,40.0,0.0949004665017128
2,42.0,0.6080079078674316
2,44.0,0.37807852029800415
2,46.0,0.3106191158294678
2,48.0,0.30410146713256836
2,50.0,0.2879266142845154
2,52.0,0.23544594645500183
2,54.0,0.27652013301849365
2,56.0,0.17695778608322144
2,58.0,0.36602604389190674
2,60.0,0.45671671628952026
2,62.0,0.2060946524143219
2,64.0,0.48339903354644775
2,66.0,0.25257986783981323
2,68.0,0.30805283784866333
2,70.0,0.21227356791496277
2,72.0,0.1285027265548706
2,74.0,0.41889357566833496
2,76.0,0.1843763291835785
2,78.0,0.2064799666404724
2,80.0,0.10364793241024017
2,82.0,0.2341601550579071
2,84.0,0.12851068377494812
2,86.0,0.22790420055389404
2,88.0,0.4782211482524872
2,90.0,0.27632713317871094
2,92.0,0.1689322590827942
2,94.0,0.3417043685913086
2,96.0,0.2748279571533203
2,98.0,0.15757979452610016
3,0.0,0.33917537331581116
3,2.0,0.19805468618869781
3,4.0,0.39338618516921997
3,6.0,0.2579582929611206
3,8.0,0.12296514958143234
3,10.0,0.3087064027786255
3,12.0,0.08128122985363007
3,14.0,0.27961939573287964
3,16.0,0.24103248119354248
3,18.0,0.36663562059402466
3,20.0,0.2583715319633484
3,22.0,0.2594890594482422
3,24.0,0.18966251611709595
3,26.0,0.28411152958869934
3,28.0,0.16125600039958954
3,30.0,0.18893058598041534
