Epoch,Accuracy,Loss
1,89.6,0.3845088958740234
2,92.4375,0.29578429412841795
3,93.3125,0.2637864818572998
4,93.4375,0.26219799995422366
5,93.4875,0.26443771171569824
6,93.6625,0.25985313987731934
7,93.7625,0.2615964317321777
8,93.775,0.25522636604309085
9,93.8125,0.2602467231750488
10,93.8,0.26275747489929197
